时间,类型,城市,监测点,AQI,质量等级,Level,PM2.5,PM2.5_24h,PM10,pm10_24h,CO,CO_24h,NO2,NO_24h,O3,O3_24h,O3_8h,O3_8h_24h,SO2,SO2_24h,Real_AQI
2014-12-01 00:00:00,国控,上海,,65,良,二级,46,38,48,42,1.025,1.155,29,39,48,80,50,71,15,14,0
2014-12-01 00:00:00,国控,上海,普陀,65,良,,47,41,0,49,0.0,0.0,0,0,0,0,0,0,0,0,0
2014-12-01 00:00:00,国控,上海,十五厂,62,良,,44,41,0,36,1.132,1.243,30,44,48,53,44,52,11,11,0
2014-12-01 00:00:00,国控,上海,虹口,63,良,,45,37,0,42,0.93,1.124,29,43,44,71,37,69,18,17,0
2014-12-01 00:00:00,国控,上海,徐汇上师大,75,良,,55,43,0,39,0.929,0.969,33,42,46,69,50,71,19,14,0
2014-12-01 00:00:00,国控,上海,杨浦四漂,59,良,,42,34,0,35,1.593,1.897,38,44,42,64,49,64,0,11,0
2014-12-01 00:00:00,国控,上海,青浦淀山湖,0,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
2014-12-01 00:00:00,国控,上海,静安监测站,0,,,0,40,0,56,0.0,1.144,0,36,0,148,0,72,0,24,0
2014-12-01 00:00:00,国控,上海,浦东川沙,55,良,,39,32,39,35,0.852,0.92,18,31,57,70,60,79,13,10,0
2014-12-01 00:00:00,国控,上海,浦东新区监测站,65,良,,47,42,54,47,0.802,0.922,29,39,51,82,53,81,17,17,0
2014-12-01 00:00:00,国控,上海,浦东张江,69,良,,50,40,51,45,0.938,1.019,28,36,49,85,57,82,14,12,0
2014-12-01 05:00:00,国控,上海,,75,良,二级,54,49,64,51,0.913,1.3,30,45,52,56,47,54,24,15,0
2014-12-01 05:00:00,国控,上海,普陀,82,良,,60,46,0,51,0.0,0.0,0,0,0,0,0,0,0,0,0
2014-12-01 05:00:00,国控,上海,十五厂,79,良,,58,47,0,36,0.893,1.342,28,47,52,52,47,47,24,12,0
2014-12-01 05:00:00,国控,上海,虹口,68,良,,49,44,60,52,0.785,1.225,31,47,47,47,44,48,27,19,0
